Altitude,Speed,Radar_Cross_Section,Acoustic_Signature,Thermal_Signature,RF_Signal_Strength,Target_Type
145.15,14.42,0.15,47.75,49.0,53.49,Single Drone
365.56,37.9,0.32,66.2,63.08,45.22,Single Drone
601.73,47.3,0.48,50.72,54.21,48.01,Single Drone
83.17,14.63,0.05,12.31,37.31,0.0,Bird
848.51,44.39,5.68,91.39,95.33,88.45,Drone Swarm
507.92,49.57,0.13,47.27,64.72,44.5,Single Drone
309.8,24.09,0.28,69.42,58.42,51.41,Single Drone
461.94,38.7,3.46,93.97,70.25,119.91,Drone Swarm
182.02,16.71,0.05,14.83,38.91,0.0,Bird
820.47,13.54,4.52,82.69,92.54,95.25,Drone Swarm
362.08,37.91,2.45,103.6,89.24,72.58,Drone Swarm
188.5,23.78,0.02,15.37,41.12,0.0,Bird
32.75,6.78,0.01,25.21,40.53,0.0,Bird
216.04,21.41,0.39,66.96,63.95,29.07,Single Drone
171.05,16.24,3.32,84.28,97.5,102.41,Drone Swarm
49.5,16.08,0.02,18.63,37.03,0.0,Bird
131.13,28.43,0.13,60.58,55.34,32.15,Single Drone
18.2,22.57,0.05,22.19,38.04,0.0,Bird
728.35,42.31,2.24,105.41,80.19,111.65,Drone Swarm
533.75,31.19,4.12,93.37,89.31,119.59,Drone Swarm
59.17,22.72,0.04,24.76,39.06,0.0,Bird
122.26,6.57,0.02,14.07,41.02,0.0,Bird
128.59,24.93,0.04,10.13,39.67,0.0,Bird
637.14,17.39,4.66,82.52,73.57,119.54,Drone Swarm
623.08,12.6,0.38,64.38,55.4,55.21,Single Drone
331.02,13.74,4.63,77.4,81.93,103.09,Drone Swarm
815.36,23.59,3.71,84.51,94.03,118.17,Drone Swarm
604.14,14.85,0.44,50.79,53.05,48.27,Single Drone
156.3,8.35,0.02,22.97,37.72,0.0,Bird
449.7,13.79,0.46,60.32,58.91,28.56,Single Drone
133.73,48.49,0.25,50.91,51.81,54.63,Single Drone
792.39,40.27,0.21,56.77,59.89,25.57,Single Drone
82.94,5.38,0.03,23.27,37.95,0.0,Bird
894.84,24.38,4.13,100.55,89.86,70.86,Drone Swarm
17.1,7.65,0.02,27.55,37.4,0.0,Bird
113.12,23.04,0.04,16.54,37.94,0.0,Bird
69.21,26.58,2.01,92.9,90.97,93.94,Drone Swarm
135.44,22.44,0.03,25.33,40.36,0.0,Bird
128.35,17.73,0.01,17.51,39.16,0.0,Bird
456.93,38.98,0.25,40.85,63.87,21.82,Single Drone
74.42,5.91,0.01,17.09,40.1,0.0,Bird
77.78,13.36,0.03,22.47,38.27,0.0,Bird
157.52,15.4,0.02,16.51,37.23,0.0,Bird
161.1,24.93,0.02,11.85,41.22,0.0,Bird
716.42,13.46,0.15,46.65,47.68,42.15,Single Drone
96.84,30.11,0.2,51.21,45.67,54.62,Single Drone
396.79,39.13,5.09,101.93,86.96,104.16,Drone Swarm
44.55,19.11,0.03,22.43,40.21,0.0,Bird
520.69,12.08,3.55,106.12,79.65,100.4,Drone Swarm
304.74,31.34,0.37,52.55,45.38,27.75,Single Drone
84.64,26.76,0.14,65.88,53.66,28.85,Single Drone
249.01,35.3,3.87,96.1,92.33,81.5,Drone Swarm
180.73,11.47,0.01,27.18,41.82,0.0,Bird
769.97,37.33,5.46,108.92,84.48,106.43,Drone Swarm
37.53,18.95,0.04,24.11,40.56,0.0,Bird
976.13,19.5,5.16,80.62,76.98,77.85,Drone Swarm
523.42,36.94,0.45,44.76,58.74,45.35,Single Drone
34.22,22.84,0.04,16.88,38.17,0.0,Bird
557.4,36.09,3.54,89.18,97.44,71.44,Drone Swarm
499.76,16.9,0.17,60.62,55.51,33.32,Single Drone
33.62,24.67,0.04,18.86,39.18,0.0,Bird
129.3,15.66,0.02,17.49,39.43,0.0,Bird
43.83,13.79,0.05,19.51,38.76,0.0,Bird
142.43,12.85,0.03,19.49,40.24,0.0,Bird
157.28,15.58,0.03,19.66,40.45,0.0,Bird
808.1,16.23,0.32,49.5,46.87,57.17,Single Drone
233.04,24.0,0.23,50.27,51.2,35.37,Single Drone
764.21,21.96,0.26,44.05,45.87,20.36,Single Drone
835.07,39.58,0.1,66.55,47.89,38.89,Single Drone
82.37,23.69,0.02,19.38,39.89,0.0,Bird
767.09,32.48,0.47,55.57,53.54,55.31,Single Drone
805.38,32.93,4.59,93.75,81.36,102.17,Drone Swarm
281.86,16.15,4.79,78.7,72.87,109.73,Drone Swarm
967.54,11.94,0.38,41.15,62.4,43.8,Single Drone
69.73,22.68,0.02,28.29,39.74,0.0,Bird
126.02,6.36,0.03,10.6,41.4,0.0,Bird
892.24,40.88,3.79,78.99,87.59,107.32,Drone Swarm
590.96,34.44,5.76,107.04,97.66,106.78,Drone Swarm
585.21,42.55,2.28,81.01,80.86,116.39,Drone Swarm
579.76,17.69,4.28,75.48,88.42,71.97,Drone Swarm
138.88,14.85,0.13,47.26,50.88,54.75,Single Drone
996.41,47.26,0.18,50.29,53.19,29.16,Single Drone
13.44,5.83,0.03,10.65,38.49,0.0,Bird
850.8,29.29,0.24,42.52,57.73,39.76,Single Drone
181.0,12.8,1.58,78.13,92.4,70.02,Drone Swarm
64.12,10.34,0.03,15.38,41.59,0.0,Bird
768.65,30.71,5.38,87.17,73.91,101.6,Drone Swarm
295.85,11.5,0.19,62.33,58.91,48.48,Single Drone
739.8,23.1,4.59,109.07,86.4,86.42,Drone Swarm
255.85,38.13,3.6,82.01,85.09,110.62,Drone Swarm
145.77,8.19,0.04,11.33,41.68,0.0,Bird
835.14,44.06,0.18,45.5,55.14,47.2,Single Drone
445.12,15.0,5.63,96.46,90.76,98.2,Drone Swarm
339.66,35.53,0.24,60.88,50.78,38.05,Single Drone
774.02,21.22,0.35,40.59,63.51,21.91,Single Drone
65.71,5.79,0.03,16.26,39.08,0.0,Bird
915.21,11.01,2.04,102.27,83.94,100.31,Drone Swarm
352.04,24.36,2.01,75.44,94.99,79.79,Drone Swarm
132.58,17.68,0.02,11.41,41.37,0.0,Bird
661.26,13.59,0.16,61.73,64.32,35.79,Single Drone
